recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE
30,NGC0307,,52.8,5.7,8.60,0.06,0.06,2.31,0.01,10.95,0.08,0.44,0.07,0.06,6.5,0.6,,,stars,75,NGC0307,NED,14.13581,-1.77194
31,NGC0315,,57.7,5.8,8.92,0.31,0.31,2.49,0.04,11.79,0.08,1.01,0.05,0.05,4.9,0.2,,,gas,7,NGC0315,NED,14.45368,30.35245
32,NGC0383,,59.2,5.9,8.76,0.32,0.32,2.38,0.03,11.69,0.11,1.09,0.13,0.07,6.1,0.4,,,gas,7,NGC0383,NED,16.85399,32.41256
33,NGC0404,,3.1,0.3,5.65,0.25,0.25,1.39,0.09,9.39,0.10,-0.23,0.09,0.05,4.7,0.3,,,gas,79,NGC0404,NED,17.36292,35.71806
34,NGC0428,,16.1,1.6,4.48,0.37,4.48,1.50,0.07,10.01,0.09,0.51,0.06,0.04,3.4,0.3,,,star,61,NGC0428,NED,18.23212,0.98158
35,NGC0524,,24.2,2.2,8.94,0.05,0.05,2.37,0.02,11.29,0.08,0.56,0.07,0.04,4.7,0.4,,,star,51,NGC0524,NED,21.19878,9.53879
36,NGC0541,,63.7,6.4,8.59,0.34,0.34,2.28,0.01,11.36,0.10,0.92,0.09,0.06,6.1,0.3,,,gas,7,NGC0541,NED,21.43460,-1.37950
37,NGC0598,,0.8,0.1,0.00,3.15,0.00,1.26,0.20,9.39,0.12,0.32,0.10,0.11,2.8,0.4,6.59,0.06,star,"32,60",NGC0598,NED,23.46210,30.65994
38,NGC0613,,15.4,1.5,7.60,0.35,0.35,2.09,0.07,10.97,0.12,0.82,0.11,0.06,4.7,0.3,,,gas,7,NGC0613,NED,23.57598,-29.41849
39,NGC0741,,65.7,6.6,8.67,0.37,0.37,2.37,0.02,11.82,0.09,1.18,0.07,0.05,5.5,0.3,,,gas,7,NGC0741,NED,29.08733,5.62882
40,NGC0788,,47.9,4.8,7.92,0.28,0.28,2.10,0.06,11.14,0.09,0.59,0.09,0.05,4.6,0.6,,,gas,7,NGC0788,NED,30.27687,-6.81583
41,NGC0821,,23.4,1.8,8.22,0.21,0.21,2.32,0.02,11.14,0.08,0.82,0.09,0.05,5.9,0.3,,,star,78,NGC0821,NED,32.08812,10.99487
42,NGC1023,,10.8,0.8,7.62,0.05,0.05,2.22,0.02,10.94,0.07,0.49,0.10,0.06,5.9,0.4,,,star,11,NGC1023,NED,40.10005,39.06325
43,NGC1042,,18.2,1.8,4.40,2.08,4.40,1.64,0.07,10.48,0.09,0.78,0.06,0.05,2.8,0.5,8.03,0.21,star,61,NGC1042,NED,40.09990,-8.43365
44,NGC1052,,18.1,1.8,8.24,0.29,0.29,2.28,0.01,10.92,0.08,0.34,0.05,0.05,5.4,0.3,,,gas,7,NGC1052,NED,40.26999,-8.25576
45,NGC1097,,14.5,1.5,8.14,0.09,0.09,2.29,0.01,11.18,0.10,0.74,0.12,0.08,6.1,0.4,,,CO,66,NGC1097,NED,41.57941,-30.27491
46,NGC1194,,58.0,6.3,7.85,0.05,0.05,2.17,0.07,11.06,0.09,0.74,0.06,0.05,5.8,0.4,9.54,1.89,maser,52,NGC1194,NED,45.95458,-1.10361
47,NGC1271,,84.0,8.4,9.53,0.06,0.06,2.45,0.01,11.07,0.08,0.33,0.07,0.07,9.1,4.0,,,star,92,NGC1271,NED,49.79696,41.35336
48,NGC1275,,70.0,7.0,8.98,0.20,0.20,2.39,0.05,11.84,0.08,1.15,0.05,0.05,4.9,0.2,,,gas,"77,88",NGC1275,NED,49.95067,41.51170
49,NGC1277,,71.0,7.1,9.67,0.15,0.15,2.50,0.01,11.07,0.08,0.15,0.07,0.07,7.8,3.2,,,star,93,NGC1277,NED,49.96453,41.57341
50,NGC1316,,18.6,0.6,8.18,0.25,0.25,2.35,0.02,11.91,0.06,1.20,0.13,0.07,6.0,0.3,,,star,64,NGC1316,NED,50.67412,-37.20820
51,NGC1320,,49.1,4.9,6.74,0.16,0.16,2.15,0.05,11.01,0.09,0.60,0.08,0.07,5.2,0.4,9.21,3.27,maser,34,NGC1320,NED,51.20294,-3.04230
52,NGC1332,,22.3,1.9,8.83,0.04,0.04,2.52,0.02,11.31,0.08,0.68,0.12,0.06,6.9,0.6,,,CO,6,NGC1332,NED,51.57217,-21.33537
53,NGC1358,,48.2,4.8,8.37,0.32,0.32,2.23,0.05,11.28,0.11,0.94,0.12,0.07,5.9,0.5,,,gas,7,NGC1358,NED,53.41545,-5.08957
54,NGC1374,,19.2,0.7,8.76,0.06,0.06,2.31,0.02,10.67,0.03,0.24,0.03,0.02,5.2,0.3,,,star,74,NGC1374,NED,53.81916,-35.22625
55,NGC1386,,16.1,1.6,6.07,0.29,0.29,2.22,0.02,10.51,0.08,0.25,0.06,0.05,5.5,0.3,8.66,1.93,maser,12,NGC1386,NED,54.19266,-35.99927
56,NGC1398,,24.8,4.1,8.03,0.08,0.08,2.37,0.01,11.66,0.15,0.91,0.11,0.08,5.6,0.4,,,stars,75,NGC1398,NED,54.71721,-26.33784
57,NGC1399,,20.9,0.7,8.94,0.31,0.31,2.53,0.02,11.54,0.05,0.74,0.09,0.05,5.6,0.4,,,star,"33,42",NGC1399,NED,54.62118,-35.45074
58,NGC1407,,28.0,3.4,9.65,0.08,0.08,2.45,0.02,11.72,0.12,0.97,0.11,0.08,5.4,0.5,,,star,74,NGC1407,NED,55.04960,-18.58038
59,NGC1428,,20.7,2.1,0.00,7.00,0.00,1.91,0.02,9.89,0.09,0.04,0.06,0.05,3.8,0.3,,,star,54,NGC1428,NED,55.59542,-35.15333
60,NGC1493,,11.4,1.1,5.40,0.51,5.40,1.55,0.07,9.96,0.12,0.51,0.09,0.07,3.1,0.6,,,star,61,NGC1493,NED,59.36409,-46.21074
61,NGC1497,,75.3,7.5,8.63,0.19,0.19,2.39,0.04,11.32,0.08,0.73,0.05,0.05,5.4,0.4,,,gas,7,NGC1497,NED,60.52835,23.13291
62,NGC1550,,51.6,5.6,9.57,0.07,0.07,2.48,0.02,11.32,0.10,0.66,0.08,0.05,5.8,0.4,,,star,74,NGC1550,NED,64.90800,2.40988
63,NGC1600,,64.0,6.4,10.23,0.04,0.04,2.47,0.02,11.86,0.08,1.08,0.05,0.04,4.9,0.2,,,star,82,NGC1600,NED,67.91607,-5.08610
64,NGC1667,,56.1,5.6,8.20,0.23,0.23,2.24,0.07,11.32,0.10,0.69,0.08,0.05,3.9,0.6,,,gas,7,NGC1667,NED,72.15502,-6.31985
65,NGC1961,,48.6,4.9,8.29,0.34,0.34,2.34,0.08,11.74,0.09,1.20,0.07,0.05,5.5,0.4,,,gas,7,NGC1961,NED,85.51990,69.37838
66,NGC2110,,29.1,2.9,8.12,0.64,0.64,2.30,0.05,11.04,0.08,0.40,0.06,0.05,5.6,0.4,,,gas,7,NGC2110,NED,88.04752,-7.45617
67,NGC2179,,35.8,3.6,8.31,0.23,0.23,2.19,0.03,10.86,0.10,0.53,0.08,0.05,5.9,0.4,,,gas,7,NGC2179,NED,92.00919,-21.74667
68,NGC2273,,29.5,1.9,6.93,0.04,0.04,2.16,0.05,10.98,0.07,0.60,0.09,0.05,5.8,0.5,,,maser,52,NGC2273,NED,102.53610,60.84569
69,NGC2329,,72.3,7.2,8.18,0.18,0.18,2.34,0.03,11.46,0.10,0.84,0.08,0.06,5.4,0.3,,,gas,7,NGC2329,NED,107.28321,48.61560
70,NGC2549,,12.7,1.6,7.16,0.37,0.37,2.15,0.02,10.29,0.10,0.05,0.05,0.05,5.4,0.2,,,star,51,NGC2549,NED,124.74311,57.80311
71,NGC2685,,12.5,1.3,6.59,0.41,6.59,2.02,0.02,10.20,0.09,0.20,0.08,0.05,5.1,0.3,,,gas,7,NGC2685,NED,133.89479,58.73441
72,NGC2748,,23.4,8.2,7.65,0.24,0.24,2.06,0.02,10.62,0.25,0.53,0.14,0.13,4.2,0.3,,,gas,1,NGC2748,NED,138.42932,76.47534
