recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE,lum_compactness
122,NGC4143,,14.8,1.5,7.92,0.36,0.36,2.25,0.02,10.55,0.08,0.04,0.05,0.05,5.3,0.4,,,gas,7,NGC4143,NED,182.40036,42.53422,10.47
123,NGC4150,,12.8,1.3,5.94,0.44,5.94,1.91,0.02,10.08,0.1,0.0,0.06,0.05,5.7,0.4,,,gas,7,NGC4150,NED,182.64023,30.40149,10.08
124,NGC4151,,20.0,2.8,7.81,0.08,0.08,1.98,0.01,10.96,0.13,0.6,0.12,0.08,7.1,0.3,10.23,0.03,star,69,NGC4151,NED,182.63572,39.4058,9.760000000000002
125,NGC4203,,14.1,1.4,7.82,0.26,0.26,2.11,0.02,10.76,0.11,0.42,0.13,0.07,5.8,0.4,,,gas,7,NGC4203,NED,183.771,33.1973,9.92
126,NGC4212,,3.2,0.3,5.99,0.42,5.99,1.83,0.02,9.1,0.09,-0.19,0.05,0.04,3.1,0.4,,,gas,7,NGC4212,NED,183.91406,13.90147,9.48
127,NGC4245,,14.6,1.5,7.19,0.48,7.19,1.92,0.02,10.42,0.1,0.41,0.09,0.06,5.1,0.3,,,gas,7,NGC4245,NED,184.40326,29.608,9.6
128,NGC4253,,55.4,5.5,6.8,0.17,0.17,1.94,0.16,10.69,0.1,0.61,0.06,0.05,2.9,0.5,10.53,0.0,reverb,8,NGC4253,NED,184.61035,29.81282,9.469999999999999
129,NGC4258,,7.3,0.5,7.58,0.03,0.03,2.06,0.04,10.9,0.08,0.64,0.08,0.03,4.1,0.3,8.53,0.07,maser,41,NGC4258,NED,184.74008,47.30372,9.620000000000001
130,NGC4261,,32.4,2.8,8.72,0.1,0.1,2.42,0.02,11.6,0.09,0.86,0.12,0.06,5.5,0.5,,,gas,29,NGC4261,NED,184.84673,5.82492,9.879999999999999
131,NGC4278,,15.0,1.5,7.96,0.27,0.27,2.33,0.02,10.87,0.09,0.24,0.09,0.07,5.4,0.6,,,gas,7,NGC4278,NED,185.02844,29.28075,10.389999999999999
132,NGC4291,,26.6,3.9,8.99,0.16,0.16,2.38,0.02,10.95,0.13,0.44,0.11,0.08,6.8,0.5,,,star,78,NGC4291,NED,185.07375,75.37096,10.069999999999999
133,NGC4303,,17.9,1.8,6.51,0.74,0.74,1.92,0.02,11.17,0.12,0.81,0.11,0.05,3.9,0.7,,,gas,70,NGC4303,NED,185.47896,4.47359,9.55
134,NGC4314,,15.5,1.5,6.91,0.3,6.91,2.03,0.01,10.9,0.11,0.81,0.12,0.06,5.2,0.4,,,gas,7,NGC4314,NED,185.63324,29.8953,9.280000000000001
135,NGC4321,,14.2,1.4,6.67,0.17,6.67,1.92,0.02,11.14,0.11,0.98,0.13,0.08,4.2,0.7,,,gas,7,NGC4321,NED,185.72875,15.82238,9.18
136,NGC4335,,59.1,5.9,8.39,0.31,0.31,2.41,0.01,11.3,0.09,0.6,0.07,0.05,5.8,0.5,,,gas,7,NGC4335,NED,185.75795,58.44471,10.100000000000001
137,NGC4342,,22.9,1.4,8.66,0.19,0.19,2.38,0.02,10.44,0.05,-0.24,0.06,0.04,8.6,3.6,,,star,18,NGC4342,NED,185.9126,7.05394,10.92
138,NGC4350,,17.0,1.7,8.58,0.41,0.41,2.24,0.02,10.69,0.09,0.23,0.07,0.05,6.0,0.4,,,star,73,NGC4350,NED,185.99089,16.69336,10.229999999999999
139,NGC4371,,16.9,1.5,6.84,0.07,0.07,2.16,0.02,10.78,0.08,0.4,0.05,0.04,4.7,0.3,,,stars,75,NGC4371,NED,186.23096,11.70429,9.979999999999999
140,NGC4374,,18.5,0.6,8.97,0.05,0.05,2.41,0.02,11.4,0.03,0.57,0.03,0.02,5.0,0.2,,,gas,89,NGC4374,NED,186.2656,12.88698,10.26
141,NGC4382,,17.9,1.8,7.11,1.24,7.11,2.25,0.02,11.5,0.09,0.86,0.08,0.05,4.8,0.5,,,star,38,NGC4382,NED,186.35022,18.19108,9.78
